,image_url,link,title,manufacturer,model,generation,year,min_price,max_price,mileage,time_online,last_seen,date_listed,sold,site
21,https://photos.webuycars.co.za/photobooth/01D504143/Images/01D5041430.webp,,2014 Audi  A6 2.0 TDI Multitronic,audi,a6,,2014,177000,186900,182927,17 days 02:06:44.366494,2024-07-30 10:02:34.210590,2024-07-13 07:55:49.844096,True,webuycars
22,https://photos.webuycars.co.za/photobooth/01DC06505/Images/01DC065050.webp,,1994 Toyota  Corolla 1.6 GLE,toyota,corolla,,1994,30000,39900,396000,25 days 04:40:22.105583,2024-08-12 12:44:54.520287,2024-07-18 08:04:32.414704,True,webuycars
23,https://photos.webuycars.co.za/photobooth/01E402790/Images/01E4027900.webp,,2014 Mercedes-Benz  C Class C220 Bluetec,mercedes-benz,c class,,2014,165000,175900,270000,3 days 06:57:38.164527,2024-08-12 16:04:36.316164,2024-08-09 09:06:58.151637,True,webuycars
24,https://photos.webuycars.co.za/photobooth/01E503294/Images/01E5032940.webp,,2006 BMW  3 Series 320i (E90),bmw,3 series,,2006,30900,30900,255000,0 days 00:00:00,2024-07-11 08:59:45.690097,2024-07-11 08:59:45.690097,True,webuycars
25,https://photos.webuycars.co.za/photobooth/01F409689/Images/01F4096890.webp,,2015 Mercedes-Benz  A Class A 200 CDI,mercedes-benz,a class,,2015,171900,171900,161452,0 days 00:00:00,2024-06-05 07:50:13.181581,2024-06-05 07:50:13.181581,True,webuycars
26,https://photos.webuycars.co.za/photobooth/021700954/Images/0217009540.webp,,2020 BMW  3 Series 318i Sport Line Auto (G20),bmw,3 series,,2020,450000,458900,57000,14 days 02:23:05.397742,2024-08-26 18:24:16.128494,2024-08-12 16:01:10.730752,True,webuycars
27,https://photos.webuycars.co.za/photobooth/021D11796/Images/021D117960.webp,,1993 Toyota  Corolla 1.6 GLS Exec,toyota,corolla,,1993,51000,51000,261000,2 days 19:44:54.573105,2024-07-30 10:07:52.291283,2024-07-27 14:22:57.718178,True,webuycars
28,https://photos.webuycars.co.za/photobooth/023909402/Images/0239094020.webp,,2013 Toyota  Prado VX 3.0 TDI Auto,toyota,land-cruiser-prado,4th gen,2013,341000,351900,293000,13 days 18:15:52.274828,2024-08-06 09:14:58.835025,2024-07-23 14:59:06.560197,True,webuycars
29,https://photos.webuycars.co.za/photobooth/023B09662/Images/023B096620.webp,,2013 Audi  A3 1.4T FSI S 3-Door,audi,a3,,2013,126900,131900,138000,2 days 06:26:01.847831,2024-07-23 14:54:25.134476,2024-07-21 08:28:23.286645,True,webuycars
30,https://photos.webuycars.co.za/photobooth/023C04082/Images/023C040820.webp,,2018 Renault  Sandero 900t Stepway Expression,renault,sandero,,2018,139900,139900,43588,15 days 21:01:16.537816,2024-08-30 12:42:36.618516,2024-08-14 15:41:20.080700,True,webuycars
31,https://photos.webuycars.co.za/photobooth/024B06717/Images/024B067170.webp,,2007 Toyota  Yaris T3+ 5-Door,toyota,yaris,,2007,55000,59900,308000,2 days 22:51:13.839000,2024-08-23 13:37:59.338952,2024-08-20 14:46:45.499952,True,webuycars
32,https://photos.webuycars.co.za/photobooth/025804746/Images/0258047460.webp,,2009 BMW  3 Series 325i (E90),bmw,3 series,,2009,55900,62900,182000,18 days 18:55:12.690836,2024-08-01 08:49:21.901500,2024-07-13 13:54:09.210664,True,webuycars
33,https://photos.webuycars.co.za/photobooth/025C09036/Images/025C090360.webp,,2021 Suzuki  S-Presso 1.0 GL+,bmw,3 series,,2021,138900,138900,14500,1 days 18:34:09.583202,2024-07-31 12:20:14.157900,2024-07-29 17:46:04.574698,True,webuycars
34,https://photos.webuycars.co.za/photobooth/027706249/Images/0277062490.webp,,2018 Toyota  Yaris 1.5 XS 5-Door,toyota,yaris,,2018,188900,188900,38542,8 days 23:18:25.338363,2024-08-29 09:15:08.859865,2024-08-20 09:56:43.521502,True,webuycars
35,https://photos.webuycars.co.za/photobooth/028413789/Images/0284137890.webp,https://www.webuycars.co.za/buy-a-car/BMW/M3/028413789,2009 BMW  M3 Convert M Dynamic M-DCT,bmw,m3,e9x,2009,307900,335900,168787,89 days 12:14:17.411826,2024-09-03 09:41:22.670169,2024-06-05 21:27:05.258343,False,webuycars
36,https://photos.webuycars.co.za/photobooth/029603955/Images/0296039550.webp,,2013 Audi  A3 Sportback 1.4 TFSI Attr Stronic,audi,a3,,2013,81900,85900,225792,11 days 00:19:03.841927,2024-08-01 08:47:27.128572,2024-07-21 08:28:23.286645,True,webuycars
37,https://photos.webuycars.co.za/photobooth/02B412837/Images/02B4128370.webp,,2012 Audi  A6 2.0 TDI Multitronic,audi,a6,,2012,78000,78000,223000,0 days 00:00:00,2024-08-01 08:46:28.082102,2024-08-01 08:46:28.082102,True,webuycars
38,https://photos.webuycars.co.za/photobooth/02C200603/Images/02C2006030.webp,,2013 BMW  3 Series 320i M Sport Auto (F30),bmw,3 series,,2013,88900,88900,199845,1 days 18:43:04.885496,2024-06-27 13:58:32.705356,2024-06-25 19:15:27.819860,True,webuycars
39,https://photos.webuycars.co.za/photobooth/02F902636/Images/02F9026360.webp,,2016 Mercedes-Benz  C Class C200 Avantgarde Auto,mercedes-benz,c class,,2016,287900,303900,63000,34 days 15:08:17.901278,2024-08-30 12:42:01.068200,2024-07-26 21:33:43.166922,True,webuycars
40,https://photos.webuycars.co.za/photobooth/02FF13241/Images/02FF132410.webp,,2018 Mercedes-Benz  C Class C220d Auto,mercedes-benz,c class,,2018,357000,357000,36000,0 days 00:00:00,2024-08-01 08:53:00.307901,2024-08-01 08:53:00.307901,True,webuycars
41,https://photos.webuycars.co.za/photobooth/031F13369/Images/031F133690.webp,,2015 BMW  2 Series 228i M Sport Auto (F22),bmw,2 series,,2015,214900,220900,145000,24 days 00:46:13.563082,2024-08-26 07:52:02.531339,2024-08-02 07:05:48.968257,True,webuycars
