,manufacturer,model,generation,year,min_price,max_price,time_online,last_seen,date_listed,mileage,status,site,title,ad_id,image_url,display_name
5654,Bmw,3 series,,2013,229990.0,229990.0,49 days 19:35:31.858342,2024-11-18 10:51:15.872834,2024-09-29 15:15:44.014492,198000,False,autotrader,2013 BMW 3 Series 320d M Sport auto,27705509,https://img.autotrader.co.za/33593564/Fit640x480,Bmw 3 series
5655,Bmw,2 series,,2022,549999.0,565000.0,49 days 19:35:08.132789,2024-11-18 10:46:11.872162,2024-09-29 15:11:03.739373,11800,False,autotrader,2022 BMW 2 Series 218d Gran Coupe M Sport,27705586,https://img.autotrader.co.za/33594608/Fit640x480,Bmw 2 series
5656,Bmw,1 series,,2019,329990.0,359990.0,21 days 20:03:41.480187,2024-11-18 10:43:12.183472,2024-10-27 14:39:30.703285,128000,False,autotrader,2019 BMW 1 Series 120i 5-Door Edition M Sport Shadow Auto,27705603,https://img.autotrader.co.za/34081883/Fit640x480,Bmw 1 series
5657,Renault,megane,,2012,84700.0,84700.0,2 days 15:23:15.451865,2024-10-02 06:50:32.674258,2024-09-29 15:27:17.222393,127800,True,autotrader,2012 Renault Megane 1.4TCe GT Line,27705705,https://img.autotrader.co.za//Crop800x600,Renault megane
5658,Bmw,1 series,,2011,139700.0,149700.0,49 days 19:33:39.332932,2024-11-18 10:43:12.183472,2024-09-29 15:09:32.850540,158439,False,autotrader,2011 BMW 1 Series 120i Convertible,27705737,https://img.autotrader.co.za/33596939/Fit640x480,Bmw 1 series
5659,Bmw,m3,e9x,2009,599900.0,599900.0,49 days 19:37:01.672546,2024-11-18 10:53:45.428143,2024-09-29 15:16:43.755597,91000,False,autotrader,2009 BMW M3 M Dynamic Auto,27705740,https://img.autotrader.co.za/33618998/Fit640x480,Bmw m3
5660,Bmw,m6,,2014,569900.0,569900.0,7 days 04:10:56.634855,2024-10-06 19:28:45.203438,2024-09-29 15:17:48.568583,97000,True,autotrader,2014 BMW M6 Convertible,27705754,https://img.autotrader.co.za//Crop800x600,Bmw m6
5661,Bmw,1 series,,2009,259995.0,259995.0,0 days 00:00:00,2024-09-29 15:09:32.850540,2024-09-29 15:09:32.850540,53000,True,autotrader,2009 BMW 1 Series 135i Coupe M Sport Auto,27705758,https://img.autotrader.co.za//Crop800x600,Bmw 1 series
5662,Mercedes-Benz,c class,,2012,899995.0,899995.0,49 days 19:40:04.435419,2024-11-18 11:05:25.716049,2024-09-29 15:25:21.280630,51000,False,autotrader,2012 Mercedes-Benz C-Class C63 AMG,27705761,https://img.autotrader.co.za/33597374/Fit640x480,Mercedes-Benz c class
5663,Bmw,3 series,,2013,197499.0,212499.0,49 days 19:35:31.858342,2024-11-18 10:51:15.872834,2024-09-29 15:15:44.014492,176000,False,autotrader,2013 BMW 3 Series 320i M Sport Auto,27705764,https://img.autotrader.co.za/33597369/Fit640x480,Bmw 3 series
5664,Bmw,m4,,2017,2499995.0,2499995.0,7 days 04:11:02.795004,2024-10-06 19:28:21.587198,2024-09-29 15:17:18.792194,4000,True,autotrader,2017 BMW M4 DTM Champion Edition,27705768,https://img.autotrader.co.za//Crop800x600,Bmw m4
5665,Bmw,3 series,,2020,799995.0,819995.0,34 days 21:05:35.938796,2024-11-03 12:21:19.953288,2024-09-29 15:15:44.014492,47000,True,autotrader,2020 BMW 3 Series M340i xDrive,27705771,https://img.autotrader.co.za/33597519/Crop640x480,Bmw 3 series
5666,Bmw,3 series,,2017,399900.0,399900.0,0 days 00:00:00,2024-09-29 15:15:44.014492,2024-09-29 15:15:44.014492,126200,True,autotrader,2017 BMW 3 Series 330d M Sport Auto,27705781,https://img.autotrader.co.za//Crop800x600,Bmw 3 series
5667,Porsche,cayman,,2012,599000.0,680000.0,43 days 18:56:34.550244,2024-11-18 11:00:59.024345,2024-10-05 16:04:24.474101,80000,False,autotrader,2012 Porsche Cayman S PDK 987C Auto,27705790,https://img.autotrader.co.za/33687284/Fit640x480,Porsche cayman
5668,Renault,sandero,,2019,79500.0,99500.0,34 days 21:12:25.330117,2024-11-03 12:39:19.279871,2024-09-29 15:26:53.949754,167575,True,autotrader,2019 Renault Sandero Stepway 1.6,27705797,https://img.autotrader.co.za/33646549/Crop640x480,Renault sandero
5669,Bmw,1 series,,2021,469995.0,489995.0,49 days 19:33:39.332932,2024-11-18 10:43:12.183472,2024-09-29 15:09:32.850540,65900,False,autotrader,2021 BMW 1 Series 118i M Sport,27705829,https://img.autotrader.co.za/33598588/Fit640x480,Bmw 1 series
5670,Bmw,3 series,,2022,539995.0,539995.0,7 days 04:11:04.678079,2024-10-06 19:26:48.692571,2024-09-29 15:15:44.014492,87900,True,autotrader,2022 BMW 3 Series 320i M Sport,27705833,https://img.autotrader.co.za//Crop800x600,Bmw 3 series
5671,Toyota,land-cruiser-prado,5th gen,2024,1699995.0,1699995.0,43 days 02:48:29.128198,2024-11-11 18:13:38.614702,2024-09-29 15:25:09.486504,34,True,autotrader,2024 Toyota Land Cruiser Prado 2.8GD VX-R,27705839,https://img.autotrader.co.za/33598721/Fit640x480,Toyota land-cruiser-prado
5672,Bmw,1 series,,2012,64999.0,64999.0,7 days 04:11:02.712790,2024-10-06 19:20:35.563330,2024-09-29 15:09:32.850540,117000,True,autotrader,2012 BMW 1 Series 118i 5-Door Auto,27705847,https://img.autotrader.co.za//Crop800x600,Bmw 1 series
5673,Bmw,2 series,,2022,639890.0,644890.0,47 days 04:11:53.197257,2024-11-18 10:46:11.872162,2024-10-02 06:34:18.674905,23579,False,autotrader,2022 BMW 2 Series 218i Gran Coupe,27705916,https://img.autotrader.co.za/33599831/Fit640x480,Bmw 2 series
5674,Renault,megane,,2018,244900.0,244900.0,7 days 04:10:35.136558,2024-10-06 19:37:52.358951,2024-09-29 15:27:17.222393,119000,True,autotrader,2018 Renault Megane 97kW Turbo GT Line Auto,27706007,https://img.autotrader.co.za//Crop800x600,Renault megane
5675,Bmw,1 series,,2018,329800.0,329800.0,7 days 04:11:02.712790,2024-10-06 19:20:35.563330,2024-09-29 15:09:32.850540,70000,True,autotrader,2018 BMW 1 Series 118i 5-Door M Sport Auto,27706064,https://img.autotrader.co.za//Crop800x600,Bmw 1 series
5676,Bmw,3 series,,2020,709950.0,709950.0,0 days 00:00:00,2024-09-29 15:15:44.014492,2024-09-29 15:15:44.014492,15234,True,autotrader,2020 BMW 3 Series 330is Edition,27706267,https://img.autotrader.co.za//Crop800x600,Bmw 3 series
5677,Audi,rs6,,2015,899950.0,899950.0,7 days 04:10:58.166446,2024-10-06 19:17:47.028416,2024-09-29 15:06:48.861970,88038,True,autotrader,2015 Audi RS6 Avant Quattro,27706314,https://img.autotrader.co.za//Crop800x600,Audi rs6
5678,Bmw,m4,,2019,985940.0,985940.0,7 days 04:11:02.795004,2024-10-06 19:28:21.587198,2024-09-29 15:17:18.792194,52000,True,autotrader,2019 BMW M4 Coupe Competition,27706327,https://img.autotrader.co.za//Crop800x600,Bmw m4
5679,Audi,s4,,2024,999950.0,1099950.0,49 days 19:33:37.227362,2024-11-18 10:40:34.169834,2024-09-29 15:06:56.942472,6514,False,autotrader,2024 Audi S4 TFSI Quattro,27706347,https://img.autotrader.co.za/32848386/Fit640x480,Audi s4
5680,Suzuki,jimny,4th gen - JB74,2024,379900.0,427900.0,49 days 19:41:00.862968,2024-11-18 11:10:44.023999,2024-09-29 15:29:43.161031,1500,False,autotrader,2024 Suzuki Jimny 1.5 GLX AllGrip,27706417,https://img.autotrader.co.za/33707075/Fit640x480,Suzuki jimny
5681,Porsche,911,,2013,1199900.0,1199900.0,4 days 12:47:29.023451,2024-10-06 19:34:04.684937,2024-10-02 06:46:35.661486,50000,True,autotrader,2013 Porsche 911 Carrera Cabriolet Auto,27706664,https://img.autotrader.co.za//Crop800x600,Porsche 911
5682,Suzuki,jimny,4th gen - JB74,2022,359900.0,369900.0,47 days 04:17:40.711822,2024-11-18 11:10:44.023999,2024-10-02 06:53:03.312177,42657,False,autotrader,2022 Suzuki Jimny 1.5 GLX AllGrip Auto,27706710,https://img.autotrader.co.za/33603572/Fit640x480,Suzuki jimny
5683,Mercedes-Amg,c class,,2020,1329990.0,1329990.0,47 days 04:16:55.323222,2024-11-18 11:05:51.127623,2024-10-02 06:48:55.804401,49500,False,autotrader,2020 Mercedes-AMG C-Class C63 S,27706726,https://img.autotrader.co.za/33603718/Fit640x480,Mercedes-Amg c class
5684,Bmw,1 series,,2010,299000.0,350000.0,26 days 13:18:14.827923,2024-10-29 08:46:43.230175,2024-10-02 19:28:28.402252,189000,True,autotrader,2010 BMW 1 Series 135i Coupe Auto,27706791,https://img.autotrader.co.za/33650717/Crop640x480,Bmw 1 series
